,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
38,1.0433171272277832,0.0158351474063766,0.28708515167236326,0.011815800567120708,1.0,100,10,6,0.1,0.6,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",0.6756278557122235,0.6990754413172364,0.706934169744225,0.7010032935105854,0.7078492747997922,0.6980980070168125,0.011725772999630844,1
12,0.8572154521942139,0.02769796103662366,0.20905280113220215,0.00948299370556794,0.6,100,1,4,0.1,0.2,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.2}",0.6859787005606828,0.69434390181116,0.698756537076253,0.7019231989862609,0.7080212166011199,0.6978047110070953,0.007403737245776956,2
85,0.8609802722930908,0.019092023433592547,0.21722006797790527,0.013509169262704533,0.6,100,5,4,0.1,0.4,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.4}",0.6796790529066976,0.6957875101813901,0.7024292237703562,0.700264885012529,0.7084978395255519,0.6973317022793049,0.009729043800987987,3
56,0.8173920631408691,0.03341121785796733,0.21392197608947755,0.011669122836977457,0.4,100,5,4,0.1,0.2,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.2}",0.6817716959926847,0.6925272792757415,0.6987235220585297,0.7009153733311263,0.7093494260615436,0.6966574593439251,0.009188349185451878,4
54,1.0562907218933106,0.01563431411135913,0.2936349868774414,0.012814212639768686,0.4,100,5,6,0.05,0.6,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.6760017032245397,0.6943868363117883,0.7000119753643125,0.6988040104342068,0.7063998789905989,0.6951208808650893,0.010303259897679091,5
86,1.1073369026184081,0.043042344547173074,0.2972416400909424,0.013241245668833468,1.0,100,1,6,0.05,0.4,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.4}",0.6744549995405176,0.6946732737014482,0.6992072742632411,0.7000834565307974,0.7057916697584949,0.6948421347588998,0.010789643274785434,6
71,0.8717891693115234,0.02530642966214337,0.21310210227966309,0.010572155487575452,0.2,100,5,4,0.1,0.8,"{'subsample': 0.2, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 0.8}",0.6775845205200315,0.6911056404472449,0.7024528948074409,0.6947728448054431,0.7061660169070682,0.6944163834974457,0.009970346982880749,7
90,0.8218272686004638,0.011400135883651448,0.19645652770996094,0.010909557187883914,0.4,50,5,6,0.1,0.4,"{'subsample': 0.4, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.4}",0.6736397177807167,0.6933500725754022,0.696061132579498,0.700488992140097,0.7040476731376255,0.6935175176426679,0.010593493980415451,8
36,1.4711820125579833,0.030380192117788026,0.36445116996765137,0.01228490268920814,0.6,100,5,8,0.1,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",0.6747517053649861,0.6931807946592723,0.7005811590645745,0.6960401043420685,0.7023934517931651,0.6933894430448133,0.009871451343474209,9
14,3.437468433380127,0.05539081181981293,0.6659632682800293,0.021202080262546875,0.4,100,10,16,0.05,0.8,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 16, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.676050294211491,0.6921952874790736,0.7002369386904728,0.6939922827966871,0.7044101590816985,0.6933769924518846,0.009703392283551056,10
0,1.4793670654296875,0.7439627688477196,0.30817408561706544,0.017186258182004466,1.0,100,5,6,0.05,0.2,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.2}",0.6815299625393343,0.687430339885763,0.6941515871067907,0.6970449390101202,0.7042654272716375,0.6928844511627292,0.007837265486646452,11
65,3.506109046936035,0.04458965937313705,0.5892752170562744,0.014281851262909163,0.6,100,5,12,0.05,0.4,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.05, 'colsample_bytree': 0.4}",0.6766647336057502,0.6881525264972993,0.6989929506315892,0.6957244010890845,0.7042568767016947,0.6927582977050836,0.009592725568655446,12
53,0.8351471900939942,0.017820857299523655,0.21095776557922363,0.011671440756845628,0.2,100,5,4,0.05,0.4,"{'subsample': 0.2, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.4}",0.6726072920156784,0.6890429921499842,0.6962882592341018,0.6941394062548161,0.7057047427694028,0.6915565384847967,0.010905264128579343,13
20,1.1022110462188721,0.02377165940912463,0.23171448707580566,0.007203838722220078,1.0,50,5,8,0.1,0.2,"{'subsample': 1.0, 'n_estimators': 50, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 0.2}",0.6802656436664762,0.6855582084406648,0.6938722780019749,0.6964329796281815,0.7014006381533509,0.6915059495781296,0.007609206252298158,14
16,1.4547725200653077,0.02642087914447887,0.3666522979736328,0.009470766462957868,1.0,100,10,8,0.1,1.0,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 8, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",0.6662177399055123,0.6947887036942964,0.7024449321605315,0.6923182033528736,0.7012419445982431,0.6914023047422913,0.013155432390749002,15
88,2.014788579940796,0.02515276142518547,0.3462394714355469,0.010827707467745452,1.0,50,10,12,0.1,0.4,"{'subsample': 1.0, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 12, 'learning_rate': 0.1, 'colsample_bytree': 0.4}",0.672346808251963,0.6912533997423473,0.6960849177763951,0.6960116728408098,0.7011278932377435,0.6913649383698517,0.01000886955295798,16
69,1.0727159023284911,0.023213800129865902,0.2420109748840332,0.00854806639616055,0.6,50,10,8,0.05,0.6,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 8, 'learning_rate': 0.05, 'colsample_bytree': 0.6}",0.6683581862941796,0.6905063953684165,0.6971515642748283,0.6977923775493313,0.7020855570713442,0.6911788161116199,0.011996692950930723,17
81,0.8215476512908936,0.01328828086237031,0.19725675582885743,0.01275304147952101,0.6,50,10,6,0.1,0.2,"{'subsample': 0.6, 'n_estimators': 50, 'min_child_weight': 10, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.2}",0.6772780143050313,0.6873651333269786,0.6912570536494038,0.6972142437197834,0.7026815283715673,0.6911591946745528,0.008677781272938457,18
70,0.8750996589660645,0.04064855502077781,0.21120290756225585,0.014725609747141174,0.4,100,10,4,0.05,1.0,"{'subsample': 0.4, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 1.0}",0.6653812877039631,0.6923318479586705,0.6957416220967734,0.6940755966277191,0.706134828446342,0.6907330365666935,0.013555376779298786,19
21,0.8646536350250245,0.03140334726337109,0.20872068405151367,0.010836504290629587,1.0,100,5,4,0.05,0.4,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.4}",0.6705111899683271,0.690416268305811,0.6923593065933,0.6950993361606914,0.7040252064865605,0.690482261502938,0.011019075177514296,20
27,0.8799015045166015,0.016614103398484674,0.208548641204834,0.014806704237949971,1.0,100,10,4,0.05,0.4,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.4}",0.6705750837199932,0.690309154660665,0.6921727808759481,0.6954928507417533,0.7038422768032969,0.6904784293603313,0.01097979497923806,21
